Account_ID,Customer_ID,Account_Type,Account_Status,Open_Date,Close_Date
ACC205400001,205400001,Savings,Active,6/28/2019,
ACC205400002,205400002,Current,Active,9/11/2022,
ACC205400003,205400003,Current,Active,12/18/2020,
ACC205400004,205400004,Savings,Active,9/11/2019,
ACC205400005,205400005,Savings,Active,2/6/2020,
ACC205400006,205400006,Savings,Active,4/18/2022,
ACC205400007,205400007,Current,Active,10/27/2018,
ACC205400008,205400008,Current,Active,8/19/2019,
ACC205400009,205400009,Current,Active,3/12/2021,
ACC205400010,205400010,Current,Active,9/7/2018,
ACC205400011,205400011,Current,Active,2/2/2019,
ACC205400012,205400012,Current,Active,5/5/2019,
ACC205400013,205400013,Current,Active,7/26/2023,
ACC205400014,205400014,Savings,Active,8/17/2022,
ACC205400015,205400015,Savings,Active,6/6/2018,
ACC205400016,205400016,Savings,Active,7/20/2018,
ACC205400017,205400017,Savings,Active,2/11/2020,
ACC205400018,205400018,Savings,Active,6/14/2022,
ACC205400019,205400019,Current,Active,3/1/2020,
ACC205400020,205400020,Savings,Active,11/29/2022,
ACC205400021,205400021,Current,Active,2/10/2022,
ACC205400022,205400022,Current,Active,12/12/2020,
ACC205400023,205400023,Current,Active,4/19/2020,
ACC205400024,205400024,Current,Active,9/9/2023,
ACC205400025,205400025,Current,Active,1/20/2022,
ACC205400026,205400026,Savings,Active,7/4/2020,
ACC205400027,205400027,Current,Active,1/30/2018,
ACC205400028,205400028,Savings,Active,10/15/2021,
ACC205400029,205400029,Current,Active,4/29/2018,
ACC205400030,205400030,Current,Active,3/19/2019,
ACC205400031,205400031,Savings,Active,5/8/2018,
ACC205400032,205400032,Savings,Active,5/21/2020,
ACC205400033,205400033,Current,Active,10/11/2021,
ACC205400034,205400034,Current,Active,2/14/2021,
ACC205400035,205400035,Current,Active,4/3/2021,
ACC205400036,205400036,Current,Active,12/18/2022,
ACC205400037,205400037,Current,Active,6/18/2020,
ACC205400038,205400038,Savings,Active,9/26/2020,
ACC205400039,205400039,Current,Active,4/2/2019,
ACC205400040,205400040,Current,Active,11/18/2022,
ACC205400041,205400041,Current,Active,2/20/2021,
ACC205400042,205400042,Savings,Active,8/22/2022,
ACC205400043,205400043,Current,Active,2/21/2022,
ACC205400044,205400044,Current,Active,1/5/2022,
ACC205400045,205400045,Savings,Active,10/16/2021,
ACC205400046,205400046,Current,Active,6/6/2023,
ACC205400047,205400047,Savings,Active,10/21/2018,
ACC205400048,205400048,Current,Active,7/11/2023,
ACC205400049,205400049,Savings,Active,6/7/2020,
ACC205400050,205400050,Savings,Active,2/11/2021,
ACC205400051,205400051,Savings,Active,7/7/2022,
ACC205400052,205400052,Savings,Active,11/17/2019,
ACC205400053,205400053,Current,Active,10/25/2021,
ACC205400054,205400054,Savings,Active,7/18/2021,
ACC205400055,205400055,Current,Active,10/23/2022,
ACC205400056,205400056,Savings,Active,3/10/2020,
ACC205400057,205400057,Current,Active,5/29/2022,
ACC205400058,205400058,Savings,Active,1/13/2018,
ACC205400059,205400059,Savings,Active,2/10/2020,
ACC205400060,205400060,Current,Active,10/21/2019,
ACC205400061,205400061,Current,Active,3/30/2021,
ACC205400062,205400062,Current,Active,10/18/2021,
ACC205400063,205400063,Current,Active,6/26/2019,
ACC205400064,205400064,Current,Active,2/21/2022,
ACC205400065,205400065,Savings,Active,6/10/2022,
ACC205400066,205400066,Current,Active,6/5/2023,
ACC205400067,205400067,Savings,Active,3/25/2019,
ACC205400068,205400068,Savings,Active,6/1/2022,
ACC205400069,205400069,Savings,Active,4/1/2019,
ACC205400070,205400070,Savings,Active,9/26/2020,
ACC205400071,205400071,Current,Active,7/27/2023,
ACC205400072,205400072,Current,Active,5/15/2023,
ACC205400073,205400073,Current,Active,11/27/2020,
ACC205400074,205400074,Savings,Active,9/25/2019,
ACC205400075,205400075,Savings,Active,7/14/2020,
ACC205400076,205400076,Current,Active,1/5/2019,
ACC205400077,205400077,Savings,Active,7/15/2018,
ACC205400078,205400078,Current,Active,4/12/2021,
ACC205400079,205400079,Savings,Active,10/11/2023,
ACC205400080,205400080,Savings,Active,3/31/2019,
ACC205400081,205400081,Savings,Active,4/13/2020,
ACC205400082,205400082,Savings,Active,5/27/2022,
ACC205400083,205400083,Savings,Active,7/22/2019,
ACC205400084,205400084,Savings,Active,11/26/2018,
ACC205400085,205400085,Current,Active,4/7/2019,
ACC205400086,205400086,Savings,Active,1/8/2020,
ACC205400087,205400087,Savings,Active,12/26/2019,
ACC205400088,205400088,Current,Active,3/25/2023,
ACC205400089,205400089,Savings,Active,11/29/2018,
ACC205400090,205400090,Savings,Active,3/2/2020,
ACC205400091,205400091,Savings,Active,4/15/2019,
ACC205400092,205400092,Current,Active,2/16/2023,
ACC205400093,205400093,Current,Active,4/28/2020,
ACC205400094,205400094,Savings,Active,1/17/2018,
ACC205400095,205400095,Savings,Active,9/25/2021,
ACC205400096,205400096,Current,Active,2/18/2022,
ACC205400097,205400097,Current,Active,7/19/2018,
ACC205400098,205400098,Current,Active,11/13/2021,
ACC205400099,205400099,Current,Active,8/18/2022,
ACC205400100,205400100,Savings,Active,1/26/2019,
ACC205400101,205400101,Current,Active,12/24/2022,
ACC205400102,205400102,Current,Active,3/9/2021,
ACC205400103,205400103,Savings,Active,2/17/2022,
ACC205400104,205400104,Current,Active,6/2/2023,
ACC205400105,205400105,Savings,Active,1/5/2018,
ACC205400106,205400106,Savings,Active,12/5/2021,
ACC205400107,205400107,Savings,Active,9/8/2023,
ACC205400108,205400108,Current,Active,2/26/2023,
ACC205400109,205400109,Current,Active,4/3/2018,
ACC205400110,205400110,Current,Active,12/27/2021,
ACC205400111,205400111,Savings,Active,1/27/2021,
ACC205400112,205400112,Savings,Active,6/1/2019,
ACC205400113,205400113,Savings,Active,10/3/2023,
ACC205400114,205400114,Savings,Active,3/14/2020,
ACC205400115,205400115,Savings,Active,3/29/2019,
ACC205400116,205400116,Current,Active,3/9/2022,
ACC205400117,205400117,Savings,Active,11/6/2018,
ACC205400118,205400118,Savings,Active,4/10/2020,
ACC205400119,205400119,Current,Active,5/12/2022,
ACC205400120,205400120,Savings,Active,7/10/2020,
ACC205400121,205400121,Current,Active,4/16/2018,
ACC205400122,205400122,Current,Active,10/22/2023,
ACC205400123,205400123,Savings,Active,10/12/2019,
ACC205400124,205400124,Current,Active,4/13/2023,
ACC205400125,205400125,Savings,Active,12/1/2023,
ACC205400126,205400126,Current,Active,10/24/2023,
ACC205400127,205400127,Savings,Active,5/7/2021,
ACC205400128,205400128,Current,Active,6/10/2018,
ACC205400129,205400129,Current,Active,4/30/2020,
ACC205400130,205400130,Savings,Active,5/13/2018,
ACC205400131,205400131,Current,Active,10/28/2022,
ACC205400132,205400132,Savings,Active,12/5/2020,
ACC205400133,205400133,Savings,Active,8/24/2019,
ACC205400134,205400134,Current,Active,12/10/2020,
ACC205400135,205400135,Current,Active,7/20/2019,
ACC205400136,205400136,Savings,Active,4/23/2020,
ACC205400137,205400137,Current,Active,3/8/2022,
ACC205400138,205400138,Savings,Active,10/15/2020,
ACC205400139,205400139,Current,Active,12/1/2021,
ACC205400140,205400140,Savings,Active,4/2/2018,
ACC205400141,205400141,Savings,Active,4/11/2018,
ACC205400142,205400142,Savings,Active,3/24/2020,
ACC205400143,205400143,Current,Active,7/29/2023,
ACC205400144,205400144,Savings,Active,8/14/2018,
ACC205400145,205400145,Savings,Active,3/31/2020,
ACC205400146,205400146,Savings,Active,9/17/2022,
ACC205400147,205400147,Current,Active,8/30/2018,
ACC205400148,205400148,Savings,Active,4/30/2019,
ACC205400149,205400149,Savings,Active,10/27/2023,
ACC205400150,205400150,Savings,Active,7/18/2018,
ACC205400151,205400151,Savings,Active,11/10/2018,
ACC205400152,205400152,Savings,Active,7/2/2019,
ACC205400153,205400153,Savings,Active,10/29/2023,
ACC205400154,205400154,Current,Active,6/13/2019,
ACC205400155,205400155,Current,Active,10/12/2019,
ACC205400156,205400156,Current,Active,5/17/2018,
ACC205400157,205400157,Current,Active,11/25/2023,
ACC205400158,205400158,Savings,Active,12/17/2021,
ACC205400159,205400159,Savings,Active,1/15/2021,
ACC205400160,205400160,Savings,Active,9/28/2021,
ACC205400161,205400161,Savings,Active,1/28/2022,
ACC205400162,205400162,Current,Active,6/5/2022,
ACC205400163,205400163,Current,Active,7/11/2018,
ACC205400164,205400164,Savings,Active,8/8/2022,
ACC205400165,205400165,Current,Active,1/17/2021,
ACC205400166,205400166,Current,Active,3/18/2019,
ACC205400167,205400167,Current,Active,6/17/2018,
ACC205400168,205400168,Savings,Active,12/10/2020,
ACC205400169,205400169,Savings,Active,7/25/2019,
ACC205400170,205400170,Current,Active,12/25/2018,
ACC205400171,205400171,Savings,Active,10/23/2023,
ACC205400172,205400172,Current,Active,5/23/2019,
ACC205400173,205400173,Current,Active,7/3/2018,
ACC205400174,205400174,Savings,Active,8/10/2018,
ACC205400175,205400175,Savings,Active,11/14/2022,
ACC205400176,205400176,Current,Active,5/2/2022,
ACC205400177,205400177,Current,Active,12/29/2022,
ACC205400178,205400178,Current,Active,5/29/2023,
ACC205400179,205400179,Savings,Active,9/7/2023,
ACC205400180,205400180,Savings,Active,7/18/2021,
ACC205400181,205400181,Savings,Active,7/30/2021,
ACC205400182,205400182,Current,Active,4/25/2019,
ACC205400183,205400183,Current,Active,10/9/2018,
