Interaction_ID,Customer_ID,Date,Channel,Issue_Type,Outcome,Satisfaction_Score
INT0000001,205403148,10/29/2023,Digital,Card Issues,resolved,5
INT0000002,205402975,9/20/2024,Physical,Customer Service,resolved,5
INT0000003,205402607,11/24/2022,Physical,Loan & Credit Problems,pending,2
INT0000004,205404185,12/29/2024,Voice,Card Issues,resolved,3
INT0000005,205404590,4/15/2023,Digital,Card Issues,resolved,5
INT0000006,205404572,8/25/2023,Self Service,Transaction Failures,resolved,4
INT0000007,205401834,6/13/2024,Voice,Card Issues,resolved,5
INT0000008,205401759,9/25/2024,Voice,Digital Banking Errors,pending,3
INT0000009,205403616,9/7/2022,Physical,Card Issues,pending,3
INT0000010,205400947,12/3/2022,Physical,Transaction Failures,pending,1
INT0000011,205401725,7/18/2023,Digital,Loan & Credit Problems,resolved,5
INT0000012,205401881,7/21/2024,Self Service,Transaction Failures,resolved,3
INT0000013,205404909,9/16/2024,Physical,Loan & Credit Problems,pending,3
INT0000014,205400426,5/29/2024,Self Service,Loan & Credit Problems,resolved,3
INT0000015,205404950,9/29/2024,Voice,Loan & Credit Problems,resolved,5
INT0000016,205400795,1/2/2022,Physical,Customer Service,resolved,4
INT0000017,205402996,12/31/2023,Self Service,Digital Banking Errors,escalated,1
INT0000018,205400718,12/16/2024,Physical,Card Issues,pending,1
INT0000019,205404562,12/7/2024,Physical,Customer Service,resolved,4
INT0000020,205404227,7/11/2022,Digital,Transaction Failures,pending,2
INT0000021,205402215,1/7/2023,Digital,Digital Banking Errors,pending,1
INT0000022,205401927,8/8/2023,Self Service,Others,resolved,5
INT0000023,205401643,10/16/2023,Physical,Loan & Credit Problems,pending,3
INT0000024,205402325,7/18/2024,Digital,Customer Service,resolved,4
INT0000025,205402216,4/14/2022,Self Service,Loan & Credit Problems,resolved,5
INT0000026,205401606,3/7/2022,Digital,Customer Service,resolved,4
INT0000027,205403765,4/6/2023,Digital,Digital Banking Errors,resolved,5
INT0000028,205401863,1/8/2022,Voice,Loan & Credit Problems,resolved,5
INT0000029,205401959,2/28/2022,Voice,Transaction Failures,pending,3
INT0000030,205401369,1/20/2024,Voice,Customer Service,pending,4
INT0000031,205403537,6/9/2022,Digital,Loan & Credit Problems,resolved,5
INT0000032,205404122,1/2/2023,Voice,Loan & Credit Problems,escalated,1
INT0000033,205402949,12/28/2022,Digital,Digital Banking Errors,resolved,4
INT0000034,205400632,12/30/2023,Self Service,Customer Service,resolved,5
INT0000035,205404633,8/7/2024,Voice,Customer Service,resolved,5
INT0000036,205403324,1/4/2024,Digital,Transaction Failures,pending,3
INT0000037,205403051,7/20/2023,Physical,Transaction Failures,pending,2
INT0000038,205403194,5/2/2022,Digital,Others,pending,3
INT0000039,205403187,10/9/2022,Physical,Digital Banking Errors,resolved,5
