Session_ID,Account_ID,Customer_ID,Date,Device_Type,Feature_Used,Time_Spent,Transactions_Completed
SES0107830,ACC205403525,205403525,1/1/2022,Android,Fund Transfer,0:03:06,1
SES0138637,ACC205404745,205404745,1/1/2022,Android,Balance Inquiry,0:02:27,0
SES0124181,ACC205401251,205401251,1/1/2022,Web,Bill Payment,0:07:49,2
SES0146208,ACC205404776,205404776,1/1/2022,Web,Bill Payment,0:07:27,1
SES0130559,ACC205402833,205402833,1/1/2022,Android,Balance Inquiry,0:09:46,0
SES0108088,ACC205401277,205401277,1/1/2022,Web,Balance Inquiry,0:08:54,0
SES0118673,ACC205404943,205404943,1/1/2022,Web,Bill Payment,0:02:04,2
SES0139110,ACC205404998,205404998,1/1/2022,Android,Balance Inquiry,0:05:26,0
SES0110794,ACC205404912,205404912,1/1/2022,Web,Balance Inquiry,0:05:37,0
SES0110405,ACC205404251,205404251,1/1/2022,Android,Balance Inquiry,0:14:32,0
SES0147699,ACC205404612,205404612,1/1/2022,Web,Balance Inquiry,0:13:59,0
SES0103001,ACC205404607,205404607,1/1/2022,Android,Balance Inquiry,0:12:56,0
SES0139422,ACC205403236,205403236,1/1/2022,Android,Balance Inquiry,0:10:31,0
SES0130113,ACC205403679,205403679,1/1/2022,Android,Bill Payment,0:00:44,2
SES0103142,ACC205404943,205404943,1/1/2022,Android,Bill Payment,0:14:57,1
SES0103167,ACC205403698,205403698,1/1/2022,Android,Bill Payment,0:12:59,4
SES0107462,ACC205403405,205403405,1/1/2022,Android,Balance Inquiry,0:12:13,0
SES0101240,ACC205404644,205404644,1/1/2022,iOS,Fund Transfer,0:14:26,1
SES0135075,ACC205404998,205404998,1/1/2022,Android,Fund Transfer,0:02:45,1
SES0129409,ACC205404863,205404863,1/1/2022,Android,Balance Inquiry,0:13:16,0
SES0120475,ACC205404607,205404607,1/1/2022,Android,Fund Transfer,0:06:18,2
SES0129382,ACC205401552,205401552,1/1/2022,Android,Bill Payment,0:05:18,1
SES0120449,ACC205404607,205404607,1/1/2022,iOS,Bill Payment,0:03:59,2
SES0106842,ACC205402225,205402225,1/1/2022,iOS,Balance Inquiry,0:11:52,0
SES0121542,ACC205404889,205404889,1/1/2022,Android,Bill Payment,0:09:15,2
SES0108469,ACC205402359,205402359,1/1/2022,Android,Fund Transfer,0:00:59,1
SES0130997,ACC205404542,205404542,1/1/2022,Web,Bill Payment,0:07:22,1
SES0108604,ACC205403658,205403658,1/1/2022,iOS,Bill Payment,0:08:55,2
SES0120874,ACC205404992,205404992,1/1/2022,iOS,Balance Inquiry,0:07:59,0
SES0147472,ACC205404943,205404943,1/1/2022,Android,Bill Payment,0:04:57,2
SES0147394,ACC205404607,205404607,1/1/2022,iOS,Balance Inquiry,0:12:19,0
SES0110290,ACC205404691,205404691,1/1/2022,Web,Fund Transfer,0:06:17,1
SES0133389,ACC205404883,205404883,1/1/2022,iOS,Balance Inquiry,0:04:19,0
SES0122514,ACC205404542,205404542,1/1/2022,Web,Balance Inquiry,0:05:26,0
SES0109810,ACC205404998,205404998,1/1/2022,Web,Balance Inquiry,0:07:09,0
SES0112779,ACC205401932,205401932,1/1/2022,Android,Balance Inquiry,0:13:29,0
SES0102238,ACC205404993,205404993,1/1/2022,Android,Balance Inquiry,0:11:17,0
SES0133452,ACC205404998,205404998,1/1/2022,Android,Bill Payment,0:10:13,1
SES0102287,ACC205404724,205404724,1/1/2022,Web,Balance Inquiry,0:14:06,0
SES0134877,ACC205404998,205404998,1/1/2022,Web,Balance Inquiry,0:07:53,0
SES0148080,ACC205404441,205404441,1/1/2022,Android,Balance Inquiry,0:03:29,0
SES0136942,ACC205400647,205400647,1/1/2022,Web,Balance Inquiry,0:06:39,0
SES0132327,ACC205404943,205404943,1/1/2022,Android,Balance Inquiry,0:07:04,0
SES0136988,ACC205402772,205402772,1/1/2022,Android,Bill Payment,0:14:47,1
SES0149543,ACC205404691,205404691,1/1/2022,Android,Balance Inquiry,0:03:05,0
SES0135533,ACC205404607,205404607,1/1/2022,Android,Balance Inquiry,0:00:31,0
SES0132058,ACC205401944,205401944,1/1/2022,Web,Balance Inquiry,0:03:05,0
SES0102501,ACC205404786,205404786,1/1/2022,Web,Balance Inquiry,0:13:56,0
SES0131830,ACC205402825,205402825,1/1/2022,Android,Balance Inquiry,0:11:40,0
SES0146607,ACC205404947,205404947,1/1/2022,iOS,Balance Inquiry,0:10:16,0
SES0118926,ACC205400689,205400689,1/1/2022,iOS,Fund Transfer,0:08:42,1
SES0131138,ACC205404837,205404837,1/1/2022,Android,Balance Inquiry,0:13:53,0
SES0102297,ACC205404607,205404607,1/1/2022,Android,Balance Inquiry,0:02:58,0
SES0140854,ACC205404998,205404998,1/1/2022,Web,Balance Inquiry,0:05:08,0
SES0119475,ACC205404639,205404639,1/1/2022,iOS,Bill Payment,0:06:50,2
SES0143284,ACC205402566,205402566,1/1/2022,Android,Bill Payment,0:04:50,2
SES0143355,ACC205404607,205404607,1/1/2022,Web,Bill Payment,0:14:57,1
SES0117341,ACC205404607,205404607,1/1/2022,Web,Balance Inquiry,0:00:34,0
SES0148696,ACC205404998,205404998,1/1/2022,Android,Balance Inquiry,0:06:39,0
SES0117680,ACC205404612,205404612,1/1/2022,Android,Bill Payment,0:12:04,1
SES0143031,ACC205402674,205402674,1/1/2022,Android,Balance Inquiry,0:09:41,0
SES0148740,ACC205404998,205404998,1/1/2022,Android,Bill Payment,0:09:28,1
SES0120269,ACC205404998,205404998,1/1/2022,Android,Balance Inquiry,0:01:39,0
SES0144280,ACC205402826,205402826,1/1/2022,Android,Balance Inquiry,0:02:11,0
SES0142194,ACC205401734,205401734,1/1/2022,Android,Balance Inquiry,0:01:15,0
